Time,isbA,isbB,isbC,vsbA,vsbB,vsbC,isbARmsValue,isbBRmsValue,isbCRmsValue,vsbARmsValue,vsbBRmsValue,vsbCRmsValue,isbATrapAreaSum,isbBTrapAreaSum,isbCTrapAreaSum,vsbATrapAreaSum,vsbBTrapAreaSum,vsbCTrapAreaSum,t,GooseTimestamp,SqNum,StNum,cbStatus,frameLen,ethDst,ethSrc,ethType,gooseTimeAllowedtoLive,gooseAppid,gooseLen,TPID,gocbRef,datSet,goID,test,confRev,ndsCom,numDatSetEntries,APDUSize,protocol,stDiff,sqDiff,gooseLengthDiff,cbStatusDiff,apduSizeDiff,frameLengthDiff,timestampDiff,tDiff,timeFromLastChange,delay,class
14.0273,0.0028623673,-0.015430101,0.012907304,-0.035151042,-0.0141231725,0.049259778,0.03506205342749369,0.04505859878669163,0.038604030230341015,0.028534782491191173,0.026011402358766766,0.026290252039682566,-40.823189110466046,-37.07433614075126,-40.60994664893951,-39.81095984458807,-39.1215052739135,-39.567585398763185,0.01659,14.027386592895287,1,1,0, 200, 01:0c:cd:01:2f:81, 01:0c:cd:01:2f:80, 0x88B8, 11000, 0x00003001, 186, 0x8100, LD/LLN0$GO$gcblA, LD/LLN0$IntLockA, IntLockA, FALSE, 1, FALSE, 25, 186, GOOSE,0, 1, 0, 0, 0, 0, 1.0107965928952858, 0.0, 14.010796592895286,8.6711913841242E-5,normal
15.03948,-0.011061518,-0.0493015,0.058587678,-0.054461125,0.075654306,-0.021205405,0.028601158110604617,0.026746319211693282,0.03163566317004128,0.04166077796152085,0.044228550526278367,0.044682986072808725,-40.52120268292492,-38.88901002514467,-39.09466757599148,-39.15992778637519,-39.448905661993194,-39.8910657467859,0.01659,15.039593556881728,2,1,0, 200, 01:0c:cd:01:2f:81, 01:0c:cd:01:2f:80, 0x88B8, 11000, 0x00003001, 186, 0x8100, LD/LLN0$GO$gcblA, LD/LLN0$IntLockA, IntLockA, FALSE, 1, FALSE, 25, 186, GOOSE,0, 1, 0, 0, 0, 0, 1.0122069639864417, 0.0, 15.023003556881728,1.133475311423382E-4,normal
16.0672,-0.019823082,0.012714589,0.00735668,0.08833464,-0.026911318,-0.06141143,0.05643610901875927,0.05805628092675907,0.051820770349579166,0.06906739386890431,0.06893305198006598,0.0691746759052016,-40.57993841683492,-39.589547643379774,-38.33551935732248,-39.51633594892337,-39.46794911463985,-39.51566938724136,0.01659,16.067398850783388,3,1,0, 200, 01:0c:cd:01:2f:81, 01:0c:cd:01:2f:80, 0x88B8, 11000, 0x00003001, 186, 0x8100, LD/LLN0$GO$gcblA, LD/LLN0$IntLockA, IntLockA, FALSE, 1, FALSE, 25, 186, GOOSE,0, 1, 0, 0, 0, 0, 1.0278052939016593, 0.0, 16.050808850783387,1.9914375213758717E-4,normal
17.07182,-0.014813687,-0.057122275,0.06957501,-0.033236373,0.09557984,-0.062342163,0.03847726363498117,0.04536272067495709,0.05012570553800389,0.06810424808637423,0.06743316406439111,0.06738953266093535,-39.38126845424995,-41.358151788590476,-37.759257764875656,-39.52184149358072,-39.570595981502265,-39.40763057250297,0.01659,17.07183331002944,4,1,0, 200, 01:0c:cd:01:2f:81, 01:0c:cd:01:2f:80, 0x88B8, 11000, 0x00003001, 186, 0x8100, LD/LLN0$GO$gcblA, LD/LLN0$IntLockA, IntLockA, FALSE, 1, FALSE, 25, 186, GOOSE,0, 1, 0, 0, 0, 0, 1.0044344592460526, 0.0, 17.05524331002944,1.4004609518281086E-5,normal
18.090511,-0.015804745,-0.049263224,0.06339755,-0.08579885,0.077199146,0.008590621,0.06718553795958836,0.0674226068406782,0.06463957252995349,0.06783728370107102,0.06746131158594554,0.06777349920977983,-38.54999405751005,-39.059759388968814,-40.88690780237084,-39.50179057643982,-39.5335315176053,-39.46468800090952,0.01659,18.09052367528708,5,1,0, 200, 01:0c:cd:01:2f:81, 01:0c:cd:01:2f:80, 0x88B8, 11000, 0x00003001, 186, 0x8100, LD/LLN0$GO$gcblA, LD/LLN0$IntLockA, IntLockA, FALSE, 1, FALSE, 25, 186, GOOSE,0, 1, 0, 0, 0, 0, 1.0186903652576405, 0.0, 18.07393367528708,1.2353265596232177E-5,normal
19.10458,-0.02569691,-0.05540046,0.078898646,-0.022171805,0.08992244,-0.067751996,0.045776882882323115,0.04506314542328962,0.050920464343258566,0.0687912494429367,0.06870594534266297,0.06887519367788976,-40.05219481745735,-40.09860746868071,-38.3521261230926,-39.47733765706653,-39.51928249139746,-39.50335300905863,0.01659,19.104715480163737,6,1,0, 200, 01:0c:cd:01:2f:81, 01:0c:cd:01:2f:80, 0x88B8, 11000, 0x00003001, 186, 0x8100, LD/LLN0$GO$gcblA, LD/LLN0$IntLockA, IntLockA, FALSE, 1, FALSE, 25, 186, GOOSE,0, 1, 0, 0, 0, 0, 1.0141918048766563, 0.0, 19.088125480163736,1.3555462662750983E-4,normal
20.131039,0.01966704,0.039014302,-0.056547087,0.06252182,-0.09301938,0.030501924,0.04897498009556343,0.056302260035925894,0.054149734542417366,0.06801867017748182,0.0676739068454359,0.0677832222785307,-39.88764818238269,-39.18898196364171,-39.425924001901876,-39.49472035106737,-39.471051573866134,-39.534201388130896,0.01659,20.131211872269887,7,1,0, 200, 01:0c:cd:01:2f:81, 01:0c:cd:01:2f:80, 0x88B8, 11000, 0x00003001, 186, 0x8100, LD/LLN0$GO$gcblA, LD/LLN0$IntLockA, IntLockA, FALSE, 1, FALSE, 25, 186, GOOSE,0, 1, 0, 0, 0, 0, 1.02649639210615, 0.0, 20.114621872269886,1.732064984025783E-4,normal
21.15267,-0.0703038,0.04284018,0.025889877,0.050040923,0.046445664,-0.09646693,0.051997004547475335,0.05912983635522317,0.05769759407657148,0.06769419880401616,0.06800383876183781,0.06749560690954534,-39.161848191404715,-39.69070949777961,-39.64736390119651,-39.5460584864486,-39.50020613963716,-39.45376698006294,0.01659,21.15270446503499,8,1,0, 200, 01:0c:cd:01:2f:81, 01:0c:cd:01:2f:80, 0x88B8, 11000, 0x00003001, 186, 0x8100, LD/LLN0$GO$gcblA, LD/LLN0$IntLockA, IntLockA, FALSE, 1, FALSE, 25, 186, GOOSE,0, 1, 0, 0, 0, 0, 1.021492592765103, 0.0, 21.13611446503499,3.455841877908483E-5,normal
22.18333,-0.045799974,0.08371702,-0.037478518,0.09635293,-0.042356268,-0.053973626,0.04952517882736668,0.05502178157288219,0.056139613049651295,0.0678528605874387,0.06804392459893865,0.06792804188278379,-39.14769091564813,-39.87071341724368,-39.48080764102633,-39.52472743584076,-39.499505517305806,-39.47577905643266,0.01659,22.18345733421087,9,1,0, 200, 01:0c:cd:01:2f:81, 01:0c:cd:01:2f:80, 0x88B8, 11000, 0x00003001, 186, 0x8100, LD/LLN0$GO$gcblA, LD/LLN0$IntLockA, IntLockA, FALSE, 1, FALSE, 25, 186, GOOSE,0, 1, 0, 0, 0, 0, 1.0307528691758812, 0.0, 22.16686733421087,1.267983221993063E-4,normal
23.21315,0.051306516,0.025827074,-0.074753754,0.02611543,-0.09309952,0.06697928,0.049624572729591046,0.05263408769502084,0.0522791484695045,0.06804569730233975,0.0677740103423478,0.06774738420696584,-39.20328352868091,-39.90115872116621,-39.39638484484749,-39.49310326296836,-39.46721644914942,-39.53966768766986,0.01659,23.213312812367015,10,1,0, 200, 01:0c:cd:01:2f:81, 01:0c:cd:01:2f:80, 0x88B8, 11000, 0x00003001, 186, 0x8100, LD/LLN0$GO$gcblA, LD/LLN0$IntLockA, IntLockA, FALSE, 1, FALSE, 25, 186, GOOSE,0, 1, 0, 0, 0, 0, 1.0298554781561435, 0.0, 23.196722812367014,1.627879529522147E-4,normal
